EVENT-ID,DATE,TIME,LAT(deg),LAT-ERR(km),LON(deg),LON-ERR(km),DEPTH(km),RMS(s),AZ-GAP(deg),N_PHASES,MAG(ML)
dias2013mmlz,2013-06-27,14:07:25.838,53.31938,0.938,-9.02788,1.059,0.0,0.515,68.7,39,1.48
dias2013mvmi,2013-07-02,12:30:23.266,54.87739,2.397,-7.23479,1.671,0.0,0.246,192.2,20,0.75
dias2013ngjb,2013-07-08,11:21:49.613,54.8233,1.706,-5.90648,1.005,0.0,0.5,95.5,42,1.5
dias2013ofzk,2013-07-22,12:01:18.864,52.64743,2.114,-6.29972,2.986,0.0,0.32,217.7,19,1.17
dias2013ounh,2013-07-30,10:56:29.388,54.11401,0.847,-8.17115,1.37,0.0,0.451,77.3,36,1.18
dias2013qvol,2013-08-28,11:43:31.139,54.31406,0.998,-6.59969,1.19,0.0,0.471,75.1,42,1.18
dias2013sutd,2013-09-25,12:01:53.545,52.64124,2.009,-6.27192,2.14,0.0,0.439,169.7,18,0.92
dias2013tqqz,2013-10-07,11:55:57.790,52.63535,2.254,-6.28756,2.972,0.0,0.323,220.6,16,1.02
dias2013tsuh,2013-10-08,15:52:34.028,54.11798,0.894,-8.18018,1.432,0.0,0.638,78.2,33,1.03
dias2013tyau,2013-10-11,12:51:06.524,54.25019,1.116,-6.56038,1.441,0.0,0.421,78.6,34,1.24
dias2013xuit,2013-12-05,10:28:00.234,52.64296,2.387,-6.25784,3.424,0.0,0.223,228.6,13,1.06
dias2013yoqm,2013-12-16,13:05:48.624,53.91484,0.941,-6.70759,1.386,0.0,0.506,81.1,31,1.43
dias2013yugn,2013-12-19,14:52:38.045,54.55046,1.25,-7.52724,1.546,0.0,0.687,84.2,31,1.1
dias2014bwms,2014-01-27,12:56:27.589,54.8919,4.86,-7.24362,2.097,0.0,0.344,205.9,13,0.55
dias2014cmzm,2014-02-05,13:34:56.816,54.11614,1.084,-8.17511,1.676,0.0,0.492,77.7,22,1.05
dias2014gxyx,2014-04-09,11:56:04.517,52.63129,2.057,-6.29983,1.667,0.0,0.44,147.6,17,1.18
dias2014hiyr,2014-04-15,12:17:42.768,54.24878,0.919,-6.57423,1.213,0.0,0.317,78.2,41,1.49
dias2014jteo,2014-05-19,13:42:18.090,53.62516,0.991,-7.35007,1.119,0.0,0.414,46.8,35,1.24
dias2014kmyn,2014-05-30,09:22:28.855,54.11241,0.682,-8.1859,1.124,0.0,0.412,75.9,56,1.38
dias2014pdss,2014-08-04,11:54:06.394,54.88206,1.49,-7.24492,1.202,0.0,0.281,89.0,27,0.68
dias2014pxvv,2014-08-15,12:12:04.375,52.65309,1.812,-6.30345,1.978,0.0,0.33,165.7,23,1.19
dias2014pxvx,2014-08-15,12:14:22.411,52.64686,1.812,-6.30473,1.57,0.0,0.348,145.2,24,1.33
dias2014qhgf,2014-08-20,15:39:59.979,54.11044,0.728,-8.1838,1.058,0.0,0.455,44.2,50,1.31
dias2014qvqq,2014-08-28,12:50:12.977,53.62545,0.988,-7.35094,1.088,0.0,0.399,64.3,36,1.09
dias2014rrpl,2014-09-09,13:13:39.755,54.50089,1.241,-5.93859,1.161,0.0,0.516,79.5,36,1.08
dias2014sree,2014-09-23,13:04:05.374,52.59431,1.149,-7.17819,1.147,0.0,0.301,69.2,33,1.31
dias2014tfxe,2014-10-01,14:34:03.724,52.91211,1.324,-6.07753,1.782,0.0,0.334,128.9,25,1.02
dias2014tpbz,2014-10-06,15:13:23.411,51.88473,1.501,-8.23854,1.885,0.0,0.7,123.8,24,1.24
dias2014ufom,2014-10-15,15:42:37.313,52.65858,3.542,-6.30707,2.739,0.0,0.332,264.8,19,1.34
dias2014ufoo,2014-10-15,15:44:55.171,52.64314,2.875,-6.2903,2.055,0.0,0.276,215.8,20,1.43
dias2014viqh,2014-10-31,13:34:12.424,53.63042,1.023,-7.35346,1.168,0.0,0.392,48.1,29,1.07
dias2014voas,2014-11-03,12:30:36.123,54.40206,1.303,-6.0175,2.825,0.0,0.328,193.8,28,1.13
dias2014wnnq,2014-11-17,11:27:02.660,54.10468,0.784,-8.1917,1.365,0.0,0.467,79.8,51,1.21
dias2014xhvj,2014-11-28,14:04:21.846,52.577,1.248,-9.08722,1.655,0.0,0.339,119.9,25,1.6
